Libertin 1;;moy.;moy.;;wedstr.;;;;;%;serie;serie;moy.;moy.
Paul Dierx;104 ;4,24;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Frans Heltzel;96 ;3,83;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Rene Hamers;80 ;2,99;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Gert Smeets;76 ;2,80;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Beegden 1;;;;;;;;;;;;;;
Jo Aerts;166 ;7,28;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
M. Adams;74 ;2,72;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Jan Kuypers;62 ;2,11;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Math Seems;50 ;1,45;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Beegden 2;;;;;;;;;;;;;;
Will Janssen;142 ;6,13;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Sjra Theunissen;82 ;3,07;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
M Smeets;68 ;2,43;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
P. Delissen;56 ;1,83;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Grathem 1;;;;;;;;;;;;;;
J.Prinssen;126 ;5,26;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Fr.Henderickx;74 ;2,72;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
P.Henderickx;70 ;2,46;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
C.Koninkx;44 ;1,15;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Heytse 1;;;;;;;;;;;;;;
W. Prinssen;84 ;3,17;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
A.v.d.Kop;80 ;3,02;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
H.Crijns;62 ;2,14;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Ton Timmermans;50 ;1,50;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Wessem 1;;;;;;;;;;;;;;
Jan Derickx;96 ;3,75;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
A. Dierx;70 ;2,50;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
W.Schoenmakers;58 ;1,85;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
M.Tonnaer;54 ;1,70;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
De Oude Smidse 1;;;;;;;;;;;;;;
H.Biermans;84 ;3,24;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
J. Nijsen;70 ;2,52;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;#DEEL/0!
H.Kierkels;62 ;2,10;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;#DEEL/0!
H.Rijks;54 ;1,66;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;#DEEL/0!
Libertin 2;;;;;;;;;;;;;;
Sten Hanegraaf;90 ;3,54;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Har Bijlmakers;64 ;2,24;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Frans Wijnands;58 ;1,93;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Henk Beekmans;54 ;1,74;#####;#DEEL/0!;0 ;0 ;0 ;0 ;0 ;####;0 ;0 ;0,00;0,00
Tenniscenter 1;;;;;;;;;;;;;;
